roadId,from_node,to_node,from_node_lat,from_node_lon,to_node_lat,to_node_lon,length
6342,42448171,4143851142,40.7176834,-74.0057919,40.7179523,-74.0055874,34.51107439686913
6343,42448203,42439389,40.7795883,-73.9618493,40.7789525,-73.9623161,80.90420683521747
6344,42448216,42435504,40.778169,-73.9584859,40.7788039,-73.9580227,80.6694232919862
6345,42448216,596776074,40.778169,-73.9584859,40.7782719,-73.9587297,23.523958819423775
6346,42448238,42435514,40.7768695,-73.9554065,40.7775056,-73.9549422,80.83105904926357
6347,42448238,42447126,40.7768695,-73.9554065,40.7775459,-73.9570093,154.6473444489994
6348,42448254,42435518,40.7749252,-73.9507993,40.7755591,-73.9503323,80.7279298774592
6349,42448254,42443032,40.7749252,-73.9507993,40.7759238,-73.9531654,228.2991619860221
6350,42448257,42428029,40.7729828,-73.9461966,40.7739762,-73.9485506,227.12662030217183
6351,42448257,42435522,40.7729828,-73.9461966,40.773622,-73.945728,81.30830504026703
6352,42448257,42439416,40.7729828,-73.9461966,40.772351,-73.946656,80.21283468602681
6353,42448257,1331391393,40.7729828,-73.9461966,40.7725537,-73.9451757,98.40933759659812
6354,42448278,42456115,40.7950544,-73.9331575,40.7960087,-73.9354016,216.93105147084756
6355,42448278,42448283,40.7950544,-73.9331575,40.7957326,-73.9326614,86.22459844936976
6356,42448278,42424117,40.7950544,-73.9331575,40.7944866,-73.9318124,129.7986923012364
6357,42448278,42435403,40.7950544,-73.9331575,40.794376,-73.933647,85.97553511152681
6358,42448283,42448278,40.7957326,-73.9326614,40.7950544,-73.9331575,86.22459844936976
6359,42448283,42439506,40.7957326,-73.9326614,40.7963612,-73.9322077,79.66979222504347
6360,42448283,42449843,40.7957326,-73.9326614,40.7966814,-73.934912,217.09790347479822
6361,42448317,42447009,40.7628767,-73.9696806,40.7622356,-73.9681807,145.16036327060235
6362,42448317,6177439750,40.7628767,-73.9696806,40.763488,-73.9692158,78.45116867376508
6363,42448326,42448329,40.759619,-73.9619593,40.758663,-73.959722,216.51035739770745
