../Expiration/Expiration_10000_Independent_cluster_min=10_max=10000_alpha=-5e-06 copy_original_Dijkstra.csv
road_id,road_pagerank,road_length,road_clusterId,expiration,random_expiration,pickup
43,2.04254660,80.09288679694687,11,2,68,0
44,0.39041952,271.2446455623162,10,33,48,0
45,0.25061552,273.6317597291667,10,19,22,0
46,0.66323573,81.15181219239855,35,2,37,0
47,0.63269527,80.15448303073626,10,18,32,0
48,0.04208271,16.927881587709745,10,0,1,0
49,0.13483155,109.63307552343491,9,12,20,0
50,0.00000000,80.14255324493183,9,0,0,0
51,1.33049011,80.09027188005876,23,9,37,0
52,0.12578390,216.27217992531075,9,24,24,0
53,0.00000000,88.25443598365298,9,0,0,0
54,0.01669113,85.09204617483398,9,4,3,0
55,0.03110478,127.67709036739194,9,4,4,0
56,0.01599462,101.48310899820912,9,2,2,0
57,0.40570529,97.00512646133133,9,14,12,0
58,0.18326768,171.1738693324857,9,13,13,0
59,0.05990458,269.4075922028587,9,10,9,0
60,3.82613495,247.82959813730105,9,44,38,0
61,0.00030561,18.336472895759133,9,0,0,0
62,0.00543980,83.2969680904675,9,1,1,0
63,0.04592638,169.2826542679652,9,2,2,0
64,0.04965167,246.64240867487615,9,6,6,0
65,0.08062807,83.2969680904675,9,9,9,0
66,0.95825230,77.04098660579747,0,40,86,0
67,1.93351301,313.1818001855795,0,100,162,0
68,2.09083908,81.12307437775135,0,88,151,0
69,0.11147855,41.459972938709164,1,6,9,0
70,0.11260231,20.41283657432627,34,5,3,0
71,1.01964680,159.8447260680144,34,101,101,0
72,0.11364042,59.0618763821695,34,17,16,0
73,0.02164488,71.23632355929391,9,3,3,0
74,0.02037471,21.12584863422086,9,2,2,0
75,0.47787948,78.17297467552439,9,40,40,0
76,0.00000000,20.41283657432627,9,0,0,0
77,0.06458910,61.06404278739262,9,0,0,0
78,0.17509975,252.35202989807559,9,11,11,0
79,0.09188844,128.0390390920679,9,14,12,0
80,0.05081029,282.5648022164222,9,1,2,0
81,1.62463405,80.4509624313672,22,10,24,0
82,0.49897798,94.19906322306599,10,3,31,0
83,0.04768319,25.390408355547493,10,1,6,0
84,0.49602064,81.14193314844584,0,16,33,0
85,0.15656941,154.62796977781608,10,16,20,0
86,1.27662507,79.06159070574866,0,17,43,0
87,0.00280069,81.20348954066563,10,2,3,0
88,0.02555675,98.4257154309023,9,1,1,0
89,0.41018304,274.94891017304406,10,43,43,0
90,0.34258130,80.67639264164681,10,10,13,0
91,0.27673200,79.68994700339653,10,19,18,0
92,1.36034380,81.63324396006306,14,8,45,0
93,0.11274925,79.53424087736188,10,0,0,0
94,0.22513954,271.87440046928,10,11,14,0
95,0.46066449,273.4735625149931,10,28,45,0
96,1.95644713,79.78594544035275,11,15,113,0
97,1.55167590,79.96955358602602,35,10,63,0
98,0.22165555,130.57764642384365,10,14,19,0
99,0.18583311,127.24761764721072,10,15,25,0
100,1.11275072,81.02079139793453,24,18,62,0
101,0.13991689,216.21475007681053,9,2,6,0
102,0.00318970,81.59690433263049,9,0,1,0
103,1.26342804,79.05130326592597,23,2,20,0
104,0.00000000,94.21530484710208,9,0,0,0
105,0.00314317,84.25001526876338,9,0,0,0
106,0.38506701,32.74611407972793,27,27,30,0
107,2.52698296,171.40076872894224,27,243,245,0
108,0.46618011,109.32554221968543,27,36,40,0
109,0.41493499,303.89000456422883,27,9,21,0
110,0.00029821,20.874876813869456,27,0,0,0
111,0.05055055,148.72294488267238,9,14,14,0
112,0.32231195,85.99849911906657,45,11,13,0
113,0.02007531,113.02455928447729,9,1,1,0
114,0.15490923,115.5637904677263,9,13,13,0
115,0.13729793,113.02455928447729,9,14,13,0
116,0.02840085,47.247248418371825,9,2,3,0
117,0.32463768,135.90129211932887,45,12,13,0
118,0.06570708,62.526392726416645,9,0,1,0
119,0.06775996,36.4861305971544,45,8,8,0
120,0.25821414,88.25948088002751,45,18,22,0
121,0.10035490,84.13300742492426,9,10,11,0
122,0.02028149,794.3245904367833,9,0,0,0
123,0.03362482,494.58364833869075,9,3,3,0
124,0.02347395,15.530970937976175,9,0,0,0
125,0.03390193,103.37569253059021,9,1,0,0
126,0.07564614,177.5089880903833,9,0,1,0
127,1.20130524,101.19151883649914,9,16,11,0
128,0.00000000,142.2321994764328,9,0,0,0
129,0.00000000,55.378632883785954,9,0,0,0
130,0.00000000,86.82592234181456,9,0,0,0
131,0.00452853,1048.7126907387733,9,0,0,0
132,0.13813197,189.73437604627253,9,7,0,0
133,0.09135630,55.70506401549663,9,1,1,0
134,0.00183150,94.35014975238455,9,0,0,0
135,0.00000000,12.339640279187014,9,0,0,0
136,0.15416278,143.61818159852564,9,0,3,0
137,0.00073164,87.79689049831714,9,0,0,0
138,0.00336650,87.82181703639218,9,0,0,0
139,2.47364947,79.94172661104996,18,87,78,0
140,0.83699944,146.9009151878615,1,15,13,0
